10LR03	- Pack de pile;3.03;;;;;
10LR06	- Pack de pile;3.02;;;;;
16 module 10m, 16 module 5;50;;;;;
16A Mono 3g2.5;0.15;;;;;
2 Techniciens - montage (3h) - démontage (1h) - remise en fonctionnement jours 2;645;;;;;
2 Techniciens - montage (3h) - démontage (1h);430;;;;;
200 M Câble reseau;200;;;;;
3 jours / 2 personnes;2100;;;;;
32A Tetra - 5G6 - 10m;6;;;;;
32A Tetra - 5G6 - 20m;10;;;;;
32A Tetra 5g6;0.5;;;;;
3G2.5/100 - Cable 3G2.5 / 100m;125;;;;;
4x Enceinte Nexo PS15 (4x1000W RMS) + amplification (montage, réglage et démontage inclus);500;;;;;
4x Enceinte Nexo PS15 (4x1000W RMS) + amplification (transport, montage, réglage et démontage inclus);500;;;;;
4x Micros statiques - Choeurs + câblage;208.33323333;;;;;
5G16 - 10m;15;;;;;
5G16 - 5m;10;;;;;
5G6 - 10m;6;;;;;
5G6 - 20m;20;;;;;
5G6 - 30m;18;;;;;
5G6 - 3m;5;;;;;
5G6 - 50m;50;;;;;
5G6 - 5m;3;;;;;
63A Tetra 5g25;0.9;;;;;
8 Spot LED dimmable + douille GU10 pour faux plafond;120;;;;;
8MC/B8/19GTC/15 - Multipaire 8 circuits épanoui Mâle NF / boîtier NF terre commune - 15m;605.22;;;;;
8x Micro statique - Choeurs - installation - réglage - démontage;208.33;;;;;
ABD - PC C101;10;;;;;
ACCESSOIRES - Accessoires (tube IRO, 3G1,5, PC16);1000;;;;;
ACL - Rampe 4x250W;25;;;;;
ACL 8x250W;40;;;;;
"ADAMSON - SX Sub 2x18""";80;;;;;
"ADAMSON - SxSub 2x18"" - 35Hz-200Hz - 130dB SPL max (peak)";38;;;;;
ADB - Cycliodes ACP 1001;14;;;;;
ADB - Cyliodes ACP1001 1kW;10;;;;;
ADB - Découpe 2kW;1163;;;;;
ADB - Horiziodes - 1kw;10;;;;;
ADB - PC C101 - 1kw;9;;;;;
ADB - PC C101 1kw (gélatine);8;;;;;
ADB - PC C101 1kw + gradateur + gélatine;20;;;;;
ADB Découpe 713SX;15;;;;;
ADC - PC C101;12;;;;;
ADN-CASES1 - Kit rigide pour transport 10 postes ADN sans roulettes Sennheiser Livré avec capot sup, sans roulette;455.05;;;;;
ADN-D1 - Poste filaire délégué pour système de conférence ADN Sennheiser Col de cygne inclus;509.15;;;;;
AKG - C414 kit stéréo;50;;;;;
AKG - Micro col de cygne Gn30;12;;;;;
AKG C414;60;;;;;
ALT 290 - Pied de projecteur à crémaillère - CMU : 60kg, 1.55m à 3m;13;;;;;
ALT550 - Pied de levage a treuil pro 5,50m charge 225 kg;80;;;;;
ALTO amplifiée SLT 112W;387;;;;;
AMP/GUIRL/B22/J - Ampoules Guilandes jaunes;0.58;;;;;
AMP/GUIRL/B22/R - Ampoules Guilandes rouges;0.58;;;;;
ANNEAU/8M - Anneau de levage mâle acier gris foncé 8 mm - Filetage M8 8mm;2;;;;;
ANTIDERAP/PHO25 - Adhésif antidérapant - 25mm x 15m - PHOSPHORESCENT;31.77;;;;;
APEX 185;0;;;;;
AR 133;90.57;;;;;
ASD - ALT400 - Pieds de levage 4m - Charge max : 80kg;30;;;;;
ASD - Pieds de levage ALT400C - 4m, 80kg;20;;;;;
ASD - Pieds de levage ALT550 - 5m50, 225kg;60;;;;;
ASX23 - Angle 2 départs, vertical, pour série SX290, couleur ALU;160;;;;;
AT175/N50 - Gaffer noir;6.8;;;;;
ATEM Production 8in;785;;;;;
AVOLITES - Console lumière Quartz (4 univers + Artnet);200;;;;;
AVOLITES - Quartz - Console Lumière Titan 4 univers + Artnet;200;;;;;
AX1-WP - Plaque métal pour 2 AX1-H pour fixation AX1 ou FP1 Astera wing plate;14.98;;;;;
Ableton Suite 9;520.54;;;;;
Accessoire : Flanger (dispersion : 120 degrès);0;;;;;
Accessoire : Flanges de dispersion 120 degrès;72;;;;;
Accessoires (fixation, electricité);60;;;;;
Accessoires : valise de rangement, adapateurs, câbles et accessoires;350;;;;;
Accessoires et consommables;30;;;;;
Accessoires, adapteur, patch, consommable, etc...;1000;;;;;
Accroche Ecran inclinable;50;;;;;
Accroche Vidéoprojecteur;30;;;;;
Accroche système : Bumper pour JBL VRX;40;;;;;
Achat sur cadre Alu 63A Tetra;5333.33;;;;;
"Adamson - SX Sub 2x18""";80;;;;;
"Adamson - Sx Sub 2x18""";80;;;;;
Adaptateur 63A Tetra vers 32A Tetra;5;;;;;
Adaptateur DPA microdot vers mini-jack 3.5 Sennheiser EW;74.31;;;;;"
"
Adaptateur DPA vers Sennheiser DAD6034;75;;;;;
Adaptateur M/M ou F/F XLR;2;;;;;
Adaptateur NEUTRIK XLR3 F - XLR5 M;11.03;;;;;
Adaptateur displayport vers HDMI (comptatible Windows et Thunderbolt Mac);49.9;;;;;
Adaptateur micro-HDMI vers HDMI;49.9;;;;;
Adaptateur mini-displayport vers HDMI (comptatible Windows et Thunderbolt Mac);49.9;;;;;
Adapteur XLR F/F;7.13;;;;;
Adapteur XLR M/M;6.75;;;;;
Alimentation Zoom - AD14/ZOOM;10.08;;;;;
Alimentation enceinte;15;;;;;
Allen \& Heath GL4000;125;;;;;
Amorce 63A Tetra 2m;10;;;;;
Amorce P17-32A Tétra;10;;;;;
Ampli 2x1000W @ 8 Ohm;50;;;;;
Ampli B118 (2 canaux);90;;;;;
Ampli Bass swr sm900;100;;;;;
Ampli Basse SWR SM900;50;;;;;
Ampli Camco DX24 (2x2400W @ 4 ohms);40;;;;;
Ampli Crown XTi 2000 occasion très bon état;500;;;;;
Ampli Fender Delux Hotroad + foot OK;65;;;;;
Ampli Guitare Fender Hot Rod Deluxe 1x12;65;;;;;
Ampli Lab Gruppen IPD2400;60;;;;;
Ampli PS10 (2 canaux);35;;;;;
Ampli PS10 2 canaux;50;;;;;
Ampli PS15 (2 canaux);100;;;;;
Ampli PS15 2 canaux avec processeur;50;;;;;
Ampli PS15 2 canaux;90;;;;;
Ampli PS15;100;;;;;
Ampli PS18 4 canaux;100;;;;;
Ampli basse - 1x15 Ampeg + hartke HA3500A;60;;;;;
Ampli basse Hughes and Kettner BK 300;40;;;;;
Ampli guitare (à définir);40;;;;;
Ampli guitare 1 - Fender Twin reverb;65;;;;;
Ampli guitare 2 - 4x12 Marshall + Engle Gigmaster 15;80;;;;;
Ampli mélangeur;335;;;;;
Amplificateur 1U 2 x 1200 W sous 4 Ohms avec DSP intégré LAB GRUPPEN;1300;;;;;
Amplificateur DSP intégré - Dynacord L1300FD;856.8;;;;;
Amplificateur DSP intégré - Dynacord L1800FD;856.8;;;;;
Amplificateur DX48 2x2800W @4ohm;50;;;;;
Amplificateur Nexo NxAmp 4x1;3833;;;;;
Amplificateur Nexo NxAmp 4x4;7665;;;;;
Amplificateur PS15 (2 canaux);50;;;;;
Amplificateur PS8 (2 canaux);35;;;;;
Amplificateur QSC GX5 (pour PS10);430;;;;;
Amplificateur QSC PLX-3102;1070;;;;;
Amplificateur QSC PLX1104;620;;;;;
Amplification - Lab Gruppen IPD 1200;35;;;;;
Amplification 2 canaux XTi 2000 (500W/8ohm);30;;;;;
Amplification 2 canaux pour 2 PS15 Nexo : Camco DX24;50;;;;;
Amplification 2 canaux pour 4 PS15 Nexo : Camco DX24;50;;;;;
Amplification Alpha B118 2 canaux;40;;;;;
Amplification Camco DX24 (2x2300W/4Ohms);50;;;;;
Amplification Camco DX24 2x3000W (4 ohms);50;;;;;
Amplification Camco DX48 (2x2850W / 4 ohms);50;;;;;
Amplification Crown XTI 2000 (2x1kW/4ohms);40;;;;;
Amplification Crown XTI1002;590;;;;;
Amplification Nexo NxAmp4x1;4166;;;;;
Amplification PC115 (2 canaux);30;;;;;
Amplification PC115 2 canaux;40;;;;;
Amplification PS15 + processeur;40;;;;;
Amplification PS15 2 canaux;50;;;;;
Amplification PS8 (2 canaux);35;;;;;
Amplification PS8 2 canaux;40;;;;;
Amplification QSC PLX1100;30;;;;;
Amplification Retour Lab Gruppen IPD 2400;45;;;;;
Amplification VRX Stéréo;50;;;;;
Amplification pour PS8;30;;;;;
Amplification retour;30;;;;;
Amplification stéréo - retour Lab Gruppen IPD 2400;45;;;;;
Amplification subwoofer : Camco DX48;50;;;;;
Amplification subwoofer : QSC PLX3202;50;;;;;
Angle 3 départs, 3D, pied droit ou gauche, pour série EX290;109.8;;;;;
Angle Prolyte X30V Angle 2D C003;15;;;;;
Anneau accroche M10;3.03;;;;;
Antennes directive, câble BNC;30;;;;;
Anti-Larsen DBX AFS 224;380;;;;;
Appareil Photo Reflex Canon 850D;768.58;;;;;
"Apple macbook pro 15"" Retina (MJLQ2F/A)";1791.63;;;;;
Arche Prolyte x30d Hauteur : 1.50m, Largeur : 3m, 2 embases lourdes;60;;;;;
Arche structure (hauteur : 4m50, largeur 9m);140;;;;;
Arche structure triangulaire fond de scène prolyte x30d;45;;;;;
Armoir rackable 3U 32A Tetra vers 6 départ PC16, Interrupteur differentiel Tetra 30mA, départ protégés individuelle par disjoncteur Ph/N 16A;805.58;;;;;
Armoire 32 A tétra vers PC16 / P17 32A;45;;;;;
Armoire 32A Tetra vers 4x PC16 + 32A Tetra;40;;;;;
Armoire 32A Tri;35;;;;;
Armoire 32A vers 6 PC 16A;60;;;;;
Armoire 32A;40;;;;;
Armoire 63A Tetra -> 2x 32A Tetra;80;;;;;
Armoire 63A Tetra vers 2x 32A Tetra;60;;;;;
Armoire 63A Tetra vers 4x32A Tetra;80;;;;;
Armoire 63A Tétra -> 2x32A Tétra + 4 PC16;35;;;;;
Armoire 63A vers 2x 32A;50;;;;;
Armoire Electrique - 63A Tetra vers 2x32A Tetra, disjoncteur différentiel 30mA en sortie;60;;;;;
Armoire Electrique In : 63A Tetra, Out : 2x32A Tetra;60;;;;;
Armoire P17 32A Tetra -> 6x PC16;40;;;;;
Armoire P17-32A Tétra;40;;;;;
Armoire Tetra 32A;40;;;;;
Armoire in 32A/out 32A;40;;;;;
Armoire tetra 63A vers 2x tetra 32A;60;;;;;
Armoire électrique 32A Tetra Diff 30mA vers 6x PC16;40;;;;;
Armoire électrique 32T -> 6x PC16;40;;;;;
Armoire électrique 32T->6xPC16;30;;;;;
Armoire électrique 63A (3P+N+T) -> 4x 32A (3P+N+T);40;;;;;
Armoire électrique 63A Tetra -> 4x 32A Tetra;60;;;;;
Armoire électrique in : 16A Tetra, out : 3x PC16;15;;;;;
Armoire électrique in : 32A Tetra, out : 2x 32A Tetra, 1x 16A Tetra, 4x PC16, protection différentiel 30mA;40;;;;;
Armoire électrique in : 32A Tetra, out : 32A Tetra, 4x PC16;30;;;;;
Arrow Paralinx PAR-AR1 - Liaison vidéo HDMI sans-fil 1080p;1045;;;;;
Assurance - Garantie dommages;35;;;;;
Astera - ART7 : interface HF pour projecteurs Astera;25;;;;;
Astera - Art 7 - télécommande DMX pour projecteurs Astera;30;;;;;
Astera - PixelBrick : Valise 8x Projecteur Led RGBWA sur batterie, 15W, CRMX;160;;;;;
Astera - Projecteur led 15W RGBMA - CRDMX sur batterie;25;;;;;
Astera - Valise 8x Projecteurs PixelBrick - 15W RGBW, CRDMX;200;;;;;
Astera - Valise 8xPixelBricks + accessoires;120;;;;;
Astera - Valise PixelBrick - 8 projecteurs led sur batterie CRDMX - 15W;160;;;;;
Astera Hydra panel - Panneau LED 1300lm;25;;;;;
Automatique PRO 400;25;;;;;
Automatique Pro 400;30;;;;;
Avolite Quartz;200;;;;;
Avolites - Dongle Titan One + PC;80;;;;;
Avolites - Quartz (4 univers DMX + Artnet;200;;;;;
Avolites - Quartz, console lumière 4 univers;200;;;;;
Avolites - Quartz;200;;;;;
Avolites Quartz;200;;;;;
Ayrton - Diablo - Lyre led à couteaux;210;;;;;
BAC/CABLES - Flight pour rangement de câbles Open Road Rythmes et Sons 600x600x600;165.29;;;;;
BLACKMAGIC - Atem Mini Pro Iso (4 entrées HDMI, 1 sortie preview HDMI, streaming autonome via RJ45 (youtube, facebook, etc...), 2 entrées audio externes via mini-jack);860;;;;;
BLACKMAGIC - Camera Micro Studio 4K;1300;;;;;
BLACKMAGIC - Convertisseur SDI vers HDMI avec alimentation;60;;;;;
BLOC/5PET - Multiprises;12;;;;;
BMS10A - Adaptateur pour montage sur pied de micro pour console StagePAS;30.83;;;;;
BOSE - Enceinte ArenaMatch Utility - AMU108 - Blanc;801;;;;;
BOSE - MA12 - Enceinte line-array;930;;;;;
BOSE - PS 602P PowerShare;1166.37;;;;;
BOSE - Panaray 402 Séries IV - W;634.37;;;;;
BOSE - RMU BRKT 1;147;;;;;
BOSE - Support mural orientable Pan/Tilt - Blanc;147;;;;;
BOSE - WMB-MA 12 - Fixation murale;110;;;;;
BRIGHTSIGN - Media Player LS424;250.8333;;;;;
BSGAFMAT/B50 - Gaffer Blanc;11.5;;;;;
BSPRO/N14 - Garçette 14 CM Pour economie BARNIER;0.84;;;;;
BSS - AR 133, boite de direct;8;;;;;
BSS - DI AR 133;8;;;;;
BSS - DI AR133;8;;;;;
Backline (montant soumis à variation);1000;;;;;
Baffle Basse 1x15 SWR;40;;;;;
Baffle Basse 4x10 SWR;40;;;;;
"Baie informatique 19""/6u";151.61;;;;;
"Bandeau 19"" pré percé pour 16 embases série D Neutrik - 1 U";5.87;;;;;
"Bandeau 2 écrans 7"" SDI";60;;;;;
Barnier blanc - ISOLANT/B;0.51;;;;;
Barnier noir - ISOLANT/N;0.51;;;;;
Barnier noir;0.48;;;;;
Barnier panache par 10;2.49;;;;;
Barre ACL 2x 4 projecteurs;45;;;;;
Barre de couplage M20 - 21337;5;;;;;
Base Spigots 16;3;;;;;
Base écran;40;;;;;
Batterie LP-E17;72.73;;;;;
Batterie Lithium-ion longue durée SONY BP-U70;288.49;;;;;
Batterie PDP - 3 toms - cymbales incluses - 2 paires de baguettes;120;;;;;
"Batterie PDP concept by DW, GC, 4 toms (10"", 12"", 14"", 16""), CC + hardware";150;;;;;
Batterie V-Mount 95WH;174;;;;;
"Berceau 19""/2u";23.94;;;;;
"Berceau 2U 19""";14.96;;;;;
Beta 48;8;;;;;
Beta 52;0;;;;;
Beta 91;0;;;;;
Beyer Dynamics M88TG;229.52;;;;;
Beyerdynamic - Micro d'ambiance  TG i54;105;;;;;
Beyerdynamic statique;15;;;;;
Bidon liquide à fumée 10L;50;;;;;
Birdy120 Lyre à LED 120W Wash RGBW;854.75;;;;;
Blackmagic -  Convertisseur Micro Converter BiDirectional SDI/HDMI 3G;20;;;;;
Blackmagic - ATEM Production Studio 4K;1800;;;;;
Blackmagic - Alimentation 12V pour Camera Micro Cinema;30;;;;;
Blackmagic - Caméra Micro Cinema;1200;;;;;
Blackmagic - Caméra microStudio 4k + objectif;75;;;;;
Blackmagic - Convertisseur DVI vers SDI;365;;;;;
Blackmagic - Convertisseur HDMI vers SDI + alimentation;100;;;;;
Blackmagic - Convertisseur HDMI->SDI;8;;;;;
Blackmagic - Convertisseur Micro Converter BiDirectional SDI/HDMI 3G;20;;;;;
Blackmagic - Convertisseur SDI vers HDMI + alimentation;100;;;;;
Blackmagic - Convertisseur SDI vers HDMI;258;;;;;
Blackmagic - Convertisseur SDI->HDMI;8;;;;;
Blackmagic - Convertisseur SDI-Fibre;190;;;;;
Blackmagic - Convertisseurs HDMI vers SDI;235;;;;;
Blackmagic - Convertisseurs SDI vers HDMI;235;;;;;
Blackmagic - Câble Din1.0/2.3 - BNC Femelle;30;;;;;
Blackmagic - Câble d'expansion pour Caméra Micro Cinema;30;;;;;
Blackmagic - Câble d'expansion pour Caméra Micro Studio Camera 4K;30;;;;;
Blackmagic - Distributeur SDI 1 vers 5;258;;;;;
Blackmagic - Grille de commutation SDI;1650;;;;;
Blackmagic - Hyperdeck Studio / Double enregistreur SSD;994;;;;;
Blackmagic - Micro Caméra;985;;;;;
Blackmagic - Micro Studio Camera 4K;1300;;;;;
Blackmagic - Mini converter SDI Distribution 4K;249;;;;;
Blackmagic - Multiview 16;1265;;;;;
Blackmagic - Mélangeur Atem Mini Pro;700;;;;;
Blackmagic - Pupitre de commande pour ATEM;1900;;;;;
Blackmagic Design - Micro Convertisseur Bidirectionel SDI/HDMI avec alimentation;140.97;;;;;
Blackmagic Design - Micro convertisseur HDMI vers SDI avec alimentation;112.76;;;;;
Blackmagic Design Pocket Cinema 4K;1140.42;;;;;
Blinder - FL1300;15;;;;;
Blinder FL1300 - DMX;25;;;;;
Bloc Lumière EASY12/DPN 12x2.2kW;1700;;;;;
Bloc caoutchouc LEGRAND 50553 équipé 4 emb. fem. 10/16A NF;23.87;;;;;
Bloc grada solo 3,6kw;12;;;;;
Bloc gradateur 12w2.2kW;50;;;;;
Bloc gradateur 12x2kw;50;;;;;
Bloc gradateur 6x1kW;40;;;;;
Bloc gradateur 6x3kW;35;;;;;
Bloc gradateur lumière 1x3kw;35;;;;;
Bloc gradateur lumière 6x3kw;35;;;;;
Bloc gradateur mono 10A DMX;77.69;;;;;
Bloc gradateur solo 16A;15;;;;;
Bloc lumière - gradateur 6x16A;30;;;;;
Bloc lumière 12x3kw;60;;;;;
Bloc lumière 6x2kw;35;;;;;
Bloc lumière 6x3kW;30;;;;;
Bloc lumière 6x3kw, in : P17 32T;35;;;;;
Bloc lumière 6x3kw;30;;;;;
Bloc lumière EASY12/DPN 12x2.2kW;1574.41;;;;;
Bloc lumière RVE 12x2.3kW;45;;;;;
Bloc lumière RVE 12x2kW;45;;;;;
Bloc lumière solo 2kW;20;;;;;
Boite de direct - Klark Technik DN 100;95.8;;;;;
Boite de direct - Klark Technik DN 200;146.2;;;;;
Boite de direct Stéréo (entrée RCA, XLR ou Jack);10;;;;;
Boite de direct Stéréo Klark Teknik DN200;199;;;;;
Boite de direct stéréo pour PC + câbles;10;;;;;
Boite de dérivation;2.42;;;;;
Boite à ambre;8;;;;;
Boite à lumière + ampoule 1kw avec pieds;60;;;;;
Boitier de direct BSS AR133;8;;;;;
Boitier de direct stéréo;8;;;;;
Boitier de distribution 32A Tetra -> 6x PC16;30;;;;;
"Boitier de scène 8 paires éclaté XLR Mâle - Embase XLR femelle 15m - Câble Klotz - Connecteur Neutrik - Marquage ""Th95"" sous gaine thermo - Marquage numérotation paire + gaine thermo sur chaque XLR Mâle";228;;;;;
Boitier de symétrie;23.99;;;;;
Boitier de symétrisation;8;;;;;
Boitier encastrable 4 série D;49.25;;;;;
Bornier 32A in/out prise de terre;65;;;;;
Botex PSA 321;281.67;;;;;
Boule Chinoise 1kW;55;;;;;
Boule à facette 75cm + moteur;105;;;;;
Boule à facette;50;;;;;
Boîtier DTP Extendeur HDMI-RJ45;370;;;;;
Boîtier caoutchouc pour installation murale 130 x 130mm;31.46;;;;;
Boîtier pour installation fixe 1x3kW avec sortie embase 10-16A NF;79.16;;;;;
Bras magique Caméra;110;;;;;
Bras magique manfrotto;5;;;;;
Bras magique;12;;;;;
Bretelle Y ACL;4;;;;;
Bumper Accroche GeoS12;326;;;;;
Bumper Accroche RS18;1214;;;;;
Bumper GeoS12;0;;;;;
Bumper pour JBL VRX;40;;;;;
CA/MJSCI1 - Cordon MINIJACK 3,5mm Stéréo mâle - 2 CINCH mâle - 1 m;5.87;;;;;
CA/SPK4/425/15 - Cordon Speakon NL4FX 4 x 2.5 mm2 - longueur 15 mètres;75.13;;;;;
CA/XX0.3 - Cordon XLR 3 femelle - XLR 3 mâle - longueur 30 cm;12.31;;;;;
CA/XX10 - Cordon XLR 10m - Klotz Neutrik;23.02;;;;;
CA/XX20 - Cordon XLR 3 femelle - XLR 3 mâle - longueur 20 mètres;33.78;;;;;
CAMCO - Amplificateur DX48 2x2800W @4ohm;50;;;;;
CAMCO - DX48 - 2x2800W@4ohms;50;;;;;
COLLIER4800/ECO - Collier double rotatif 360\degre pour tube Ø 49 mm - acier - C.M.U. 300 kg;11.33;;;;;
COLLIER7206/ECO - Collier + anneau de levage noir pour tube 48 à 51 mm, C.M.U. 340 kg;20.41;;;;;
CORDONLIGHT/ALIM - Alimentation pour cordon lumineux;3.03;;;;;
CORDONLIGHT/BL - Cordon lumineux bleu rouleau de 45 m avec alimentation;100.29;;;;;
CP29/CP85GE - Lampe studio 5000W G38 240V 3200K 300H General Electric;54.37;;;;;
CP41/CP73GE - Lampe studio 2000W G38 240V 3200K 300H General Electric que quantité;18;;;;;
CP41/CP73GE - Lampe studio 2000W G38 240V 3200K 300H General Electric;18;;;;;
CP60 - Lampe SUPER PAR 64 GE 1000W GX16d 240V 3200K 300H 9-12\degre;14.85;;;;;
CP61 - Lampe SUPER PAR 64 GE 1000W GX16d 240V 3200K 300H 10-14\degre;14.85;;;;;
CP62 - Lampe SUPER PAR 64 GE 1000W GX16d 240V 3200K 300H 11-24\degre;14.85;;;;;
CP92 - Lampe studio 2000W G22 230-240V 3200K 300H General Electric;18.5;;;;;
CP95 - Lampe SUPER PAR 64 GE 1000W GX16d 240V 3200K 300H 70-70\degre;20.6;;;;;
CT15/16N - Enceinte d'installation fixe passive 2 voies 120W sous 16 Ohms Hortus;240;;;;;
Cablage SDI pour écrans (100m de câbles + prises);213.4;;;;;
Cablage pour déplacement régie Stragmatel;160;;;;;
Cable 16A 10m;5;;;;;
Cable 16A 5m;3;;;;;
Cable 2x1.5mm2;1.5;;;;;
Cable 2x2,5mm (100m);174.12;;;;;
Cable 32A Tetra - 5G6 - 5m;5;;;;;
Cable 32A Tetra 15m;10;;;;;
Cable 32A Tetra 5G6 - 3m;3;;;;;
Cable 32A Tétra 30m;18;;;;;
Cable 3G2.5 - 10m;5;;;;;
Cable 3G2.5 - 5m;2.5;;;;;
Cable 3G25 sur cable powercon 30m;80;;;;;
Cable 5G16 - 63A T - 10m;10;;;;;
Cable 63A Tetra - 5G10 - 10m;20;;;;;
Cable 63A Tetra 5G16 - 10m;15;;;;;
Cable : 2x speakon 10m, 5x XLR 10m, 10x XLR 5m;0;;;;;
Cable ???;0;;;;;
Cable Audio 2 paires 30m;74.3;;;;;
Cable DMX 20m 5pts;5;;;;;
Cable DMX 3 points - 3m;2.5;;;;;
Cable DMX 5 pts - 15m - IP65;46.11;;;;;
Cable DMX 5 pts - 25m - IP65;62.11;;;;;
Cable DMX 5 pts - 5m - IP65;27.59;;;;;
Cable DMX 50m;65.17;;;;;
Cable DMX 5pts - 10m;4;;;;;
Cable DMX 5pts - 5m;2;;;;;
Cable DMX 5pts 10m;50.71;;;;;
Cable DMX 5pts 25m;73.6;;;;;
Cable DXM 10m - 5 points;0;;;;;
Cable DXM 20m - 5 points;0;;;;;
Cable Electrique - 5G6 - 10m;5;;;;;
Cable Electrique - 5G6 - 20m;10;;;;;
Cable Ethercon 5m;40.32;;;;;
Cable H07 RN-F 3G2.5;100.97;;;;;
Cable HDMI 1m;1.3;;;;;
Cable HDMI 3m;10.12;;;;;
Cable HDMI 5m;17.19;;;;;
Cable HP - speakon 4x2.5mm2 - 10m;2;;;;;
Cable HP - speakon 4x2.5mm2 - 20m;4;;;;;
Cable HP - speakon 4x2.5mm2 - 5m;1;;;;;
Cable HP;1.22;;;;;
Cable MIDI 3m;10.33;;;;;
Cable Mini-jack vers jack mono x2;25;;;;;
Cable PC -> Console;0;;;;;
