;"	
Cellule Wei AgroParisTech \\ 1 Avenue Lucien Bretignières \\ 78850 Thiverval-Grignon"
;"	
Paroisse de la Cathédrale-Basilique \\ 8 rue de la Boulangerie \\ 93200 Saint-Denis"
ASV Danse - Sarah Lamy;"
157, rue du pré aux moutons \\ 78670 Villennes sur seine"
Agglomération 2 Rives de Seine;"
100 Avenue Vanderbilt \\ 78955 Carrières-sous-Poissy"
AgroParisTech Asso Gay Pride;"	
1 avenue Lucien Bretignières \\ 78850 Thivernal-Grignon"
Asso Technoparade IPGP;"	
6 avenue du Ponceau \\ 95000 Cergy"
Association Gala IPGP;"	
6 avenue du Ponceau \\ 95000 Cergy"
Association HUG;"	
15 avenue du Bol d'Air \\ 95220 Herblay"
Association La Ruche;"	
12 Allée des petits pains \\ 95800 Cergy Saint Christophe"
Association La Tambouille;"	
5 ruelle du colombier \\ 78410 Nézel"
Association TYO;"	
6 avenue du Ponceau \\ 95000 Cergy"
Association Toumélé;"	
3 Chaussée Saint-Vincent \\ 78580 Maule"
Association Toumélé;"
3 chaussé Saint-Vincent \\ 78580 Maule"
Augmented Acoustics;"
36 rue des Cuffins \\ 78830 Bonnelles"
Azalee;"	
Rue du Bouvreuil \\ Parc d'Activités de la Danne \\ 95610 Eragny"
BDA ENSEA;"	
6 avenue du Ponceau \\ 95000 Cergy"
BDA ENSEA;"
6 avenue du Ponceau \\ 95000 Cergy"
BDA ESSEC;"	
1 Avenue Bernard Hirsch \\ 95021 Cergy-Pontoise"
BDE AgroParisTech;"	
1 avenue Lucien Bretignières \\ 78850 Thivernal-Grignon"
BDE ESSEC;"	
1 Avenue Bernard Hirsch \\ 95021 Cergy-Pontoise"
BDE Essec;"	
3 Avenue Bernard Hirsch \\ 95021 Cergy-Pontoise"
BDS APT;"
1 Avenue Lucien Bretignières \\ 78850 Thiverval-Grignon"
BNP Paribas;"	
Maison Dorée \\ 20 boulebard des italiens \\ 75009 Paris"
Backline SARL;"	
Z.I. Les Usines \\ 12 rue Boris Vian \\ 95310 Saint-Ouen l'Aumône"
But Ezanville;"	
route De Domont \\ 95460 Ezanville"
But Osny Pontoise;"	
Centre Commercial de l'oseraie \\ 95520 OSNY"
CECP;"	
Complexe Sportif des Maradas \\ 95300 Pontoise"
CESE 95;"	
2 avenue du Parc \\ 95000 Cergy"
CESE 95;"	
"
CPBB;"	
Complexe sportif des Maradas \\ 6 Passage du lycée"
CRT Paris Ile-de-France;"	
11 rue du Faubourg Poissonnière \\ 75009 Paris"
Cabaret ESSEC;"	
1 Avenue Bernard Hirsch \\ 95021 Cergy-Pontoise"
Caro et Eric;"
7 rue de l'église \\ 27420 Moufflaines"
Christelle Massy \\ christelle.massy@hotmail.fr \\ 06 09 12 17 71 ;"	
49 passage des Lauzes \\ 95800 Cergy"
Cie MouvMatik;"	
Visage du monde \\ 10 place du Nautilus \\ 95800 Cergy"
Cie la Nuit Remue;"	
18 rue François Perier \\ 34000 Montpellier"
Clever Cloud;"
3 rue de l'Allier \\ 44000 Nantes"
Club Zic ENSEA;"	
6, avenue du Ponceau \\ 95000 Cergy"
Collège Vauban;"	
23 Place du Petit Martroy \\ 95300 Pontoise"
Collège et Lycée Vauban;"	
23 Place du Petit Martroy \\ 95300 Pontoise"
Comite des fêtes - Orgerus en fête;"	
12 rue du moulin de l'étang \\ 78910 Orgerus"
Comité des fêtes d'Évry-Gregy-Sur-Yerres;"	
3 Chemin Du Pont Des Romains \\ 77166 Evry-Gregy-Sur-Yerres"
Communauté d'Agglomération \\ de Cergy-Pontoise;"	
Hotel d'Agglomération \\ 95027 Cergy-Pontoise"
Communauté de Communes du Vexin-Thelle;"	
6 rue Bertinot Juel | Espace Vexin-Thelle N° 5 \\ 60240 Chaumont-en-Vexin"
Conseil départemental du Val-d'Oise;"
2, avenue du Parc \\ CS 20201 CERGY"
Covent Garden Studios;"	
Parc d'activité de la danne \\ Rue du bouvreuil \\ 95610 Eragny"
Covent Garden Studios;"	
Rue du Bouvreuil \\ 95610 Éragny"
